ID;descrizione;abitanti;casi_da_inizio;positivi_settimana_precedente;positivi;variazione;variazione_x1000;vaccini_somministrati;positivi_x1000;casi_da_inizio_x1000;vaccini_somministrati_x100
Alessano;Alessano;6253;194;17;15;-2;-0,32;2257;2,40;31,03;36,09
Alezio;Alezio;5676;193;19;7;-12;-2,11;1899;1,23;34,00;33,46
Alliste;Alliste;6533;142;6;5;-1;-0,15;1898;0,77;21,74;29,05
Andrano;Andrano;4666;125;2;10;8;1,71;2098;2,14;26,79;44,96
Aradeo;Aradeo;9087;263;71;51;-20;-2,20;3374;5,61;28,94;37,13
Arnesano;Arnesano;3995;167;15;24;9;2,25;1436;6,01;41,80;35,94
Bagnolo del Salento;Bagnolo del Salento;1808;46;0;0;0;0,00;645;0,00;25,44;35,67
Botrugno;Botrugno;2675;74;0;0;0;0,00;1184;0,00;27,66;44,26
Calimera;Calimera;6849;154;11;4;-7;-1,02;2911;0,58;22,49;42,50
Campi Salentina;Campi Salentina;9982;317;31;11;-20;-2,00;3769;1,10;31,76;37,76
Cannole;Cannole;1669;77;0;0;0;0,00;655;0,00;46,14;39,25
Caprarica di Lecce;Caprarica di Lecce;2386;57;1;5;4;1,68;1060;2,10;23,89;44,43
Carmiano;Carmiano;11748;516;63;33;-30;-2,55;3884;2,81;43,92;33,06
Carpignano Salentino;Carpignano Salentino;3704;97;0;1;1;0,27;1548;0,27;26,19;41,79
Casarano;Casarano;19732;919;58;33;-25;-1,27;6491;1,67;46,57;32,90
Castri di Lecce;Castri di Lecce;2805;90;2;0;-2;-0,71;1071;0,00;32,09;38,18
Castrignano de' Greci;Castrignano de' Greci;3779;97;0;0;0;0,00;1468;0,00;25,67;38,85
Castrignano del Capo;Castrignano del Capo;5207;135;5;2;-3;-0,58;2011;0,38;25,93;38,62
Cavallino;Cavallino;12586;503;36;14;-22;-1,75;4507;1,11;39,97;35,81
Collepasso;Collepasso;5775;257;11;6;-5;-0,87;2206;1,04;44,50;38,20
Copertino;Copertino;23494;651;88;68;-20;-0,85;8456;2,89;27,71;35,99
Corigliano d'Otranto;Corigliano d'Otranto;5699;141;1;1;0;0,00;2254;0,18;24,74;39,55
Corsano;Corsano;5278;125;8;3;-5;-0,95;1830;0,57;23,68;34,67
Cursi;Cursi;3999;122;7;8;1;0,25;1409;2,00;30,51;35,23
Cutrofiano;Cutrofiano;8798;223;18;6;-12;-1,36;3654;0,68;25,35;41,53
Diso;Diso;2906;80;0;0;0;0,00;1452;0,00;27,53;49,97
Gagliano del Capo;Gagliano del Capo;5054;122;5;4;-1;-0,20;1783;0,79;24,14;35,28
Galatina;Galatina;26201;758;109;55;-54;-2,06;10307;2,10;28,93;39,34
Galatone;Galatone;15145;533;92;79;-13;-0,86;5529;5,22;35,19;36,51
Gallipoli;Gallipoli;20241;905;39;28;-11;-0,54;7532;1,38;44,71;37,21
Giuggianello;Giuggianello;1155;24;0;0;0;0,00;477;0,00;20,78;41,30
Giurdignano;Giurdignano;1935;26;3;1;-2;-1,03;658;0,52;13,44;34,01
Guagnano;Guagnano;5578;146;4;8;4;0,72;2045;1,43;26,17;36,66
Lecce;Lecce;93865;3253;281;169;-112;-1,19;36814;1,80;34,66;39,22
Lequile;Lequile;8576;210;21;16;-5;-0,58;2934;1,87;24,49;34,21
Leverano;Leverano;13881;346;49;32;-17;-1,22;4708;2,31;24,93;33,92
Lizzanello;Lizzanello;11686;464;30;21;-9;-0,77;4120;1,80;39,71;35,26
Maglie;Maglie;13893;370;12;7;-5;-0,36;5566;0,50;26,63;40,06
Martano;Martano;8785;218;9;7;-2;-0,23;3303;0,80;24,82;37,60
Martignano;Martignano;1604;30;5;5;0;0,00;690;3,12;18,70;43,02
Matino;Matino;11224;614;75;46;-29;-2,58;3471;4,10;54,70;30,92
Melendugno;Melendugno;9932;373;40;19;-21;-2,11;3293;1,91;37,56;33,16
