ID;04/04/2020;30/04/2020;08/05/2020;15/05/2020;22/05/2020;29/05/2020;05/06/2020;12/06/2020;19/06/2020;26/06/2020;03/07/2020;10/07/2020;17/07/2020;24/07/2020;31/07/2020;07/08/2020;14/08/2020;21/08/2020;28/08/2020;04/09/2020;11/09/2020;18/09/2020;25/09/2020;02/10/2020;09/10/2020;16/10/2020;23/10/2020;30/10/2020;06/11/2020;13/11/2020;20/11/2020;27/11/2020;04/12/2020;11/12/2020;18/12/2020;24/12/2020;31/12/2020;08/01/2021;15/01/2021;22/01/2021;29/01/2021;05/02/2021;12/02/2021;19/02/2021;26/02/2021;05/03/2021;12/03/2021;19/03/2021;26/03/2021;02/04/2021;09/04/2021;16/04/2021;23/04/2021;31/04/2021;07/05/2021;14/05/2021;21/05/2021;28/05/2021;04/06/2021;11/06/2021;18/06/2021;25/06/2021;02/07/2021;09/07/2021;16/07/2021;23/07/2021;30/07/2021;06/08/2021;13/08/2021;20/08/2021;27/08/2021;03/09/2021;10/09/2021;17/09/2021;24/09/2021;01/10/2021;08/10/2021;15/10/2021;22/10/2021;29/10/2021;05/11/2021;12/11/2021;19/11/2021;26/11/2021;03/12/2021;10/12/2021;17/12/2021;24/12/2021;31/12/2021;07/01/2022;14/01/2022;21/01/2022;28/01/2022
Alessano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;23;20;17;9;10;7;24;52;52;37;15;16;18;19;14;7;4;8;15;23;27;23;14;10;8;10;17;15;3;2;1;1;1;3;1;1;1;7;8;6;3;8;8;4;3;0;0;4;9;7;3;1;5;4;2;1;3;7;23;81;121;123;135
Alezio;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;6;8;7;7;12;12;11;7;10;14;23;20;13;12;11;9;3;4;14;32;52;51;49;31;21;26;27;19;7;2;1;1;2;2;1;0;1;2;4;24;27;19;24;16;8;1;1;0;2;2;4;1;2;5;1;1;1;2;1;38;114;220;168;131
Alliste;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;9;12;18;19;17;14;10;17;18;21;12;24;33;28;15;6;2;3;2;4;7;9;13;17;10;10;7;6;5;4;2;0;0;0;0;0;0;1;3;5;10;9;12;13;10;9;8;4;2;2;1;0;2;1;0;1;4;8;16;46;113;182;191;186
Andrano;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;3;12;13;13;11;13;12;6;7;17;24;25;16;9;6;7;8;10;17;19;17;20;23;10;8;3;2;0;2;10;6;3;2;1;1;0;0;0;0;1;3;3;1;1;3;3;2;1;1;2;3;1;0;0;1;2;1;1;2;5;29;108;122;101;75
Aradeo;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;1;2;5;5;2;1;3;4;5;6;8;8;7;6;8;17;20;18;14;11;10;24;28;24;20;9;5;3;5;13;16;14;24;51;89;95;71;51;29;20;19;8;3;0;3;7;10;13;8;11;16;16;9;0;3;7;7;1;1;1;4;4;1;0;0;1;4;9;51;160;218;208;193
Arnesano;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;5;9;12;11;13;13;9;5;3;1;16;22;26;33;20;16;19;28;29;22;19;21;20;13;5;2;4;4;15;24;17;5;6;4;4;2;0;2;3;4;4;1;3;4;4;1;0;0;0;0;1;1;0;0;2;3;3;2;18;32;66;120;144;126;88
Bagnolo del Salento;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;3;4;9;16;17;8;3;0;0;1;0;6;9;4;7;7;7;4;4;0;0;0;0;0;0;0;0;0;0;5;6;7;0;0;2;3;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;7;35;50;51;31
Botrugno;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;4;5;7;9;8;6;1;2;2;1;2;12;25;33;40;38;17;3;1;0;0;0;0;0;0;0;0;0;0;1;1;3;4;3;6;6;4;1;1;0;0;0;0;0;0;0;0;2;2;5;2;4;20;54;69;85;96
Calimera;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;4;5;16;28;29;23;17;12;7;7;3;4;3;2;1;8;12;45;41;25;18;20;22;26;22;10;2;7;11;11;4;3;1;0;0;1;2;2;3;10;11;12;10;5;3;9;10;12;5;1;0;0;1;4;5;6;4;8;9;15;16;38;120;139;161;161
Campi Salentina;2;5;4;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;3;3;5;5;10;9;22;30;46;42;31;20;7;7;6;4;8;8;12;13;10;21;35;54;64;78;69;72;40;31;40;32;31;11;7;7;5;5;4;1;4;5;5;4;7;17;16;19;17;17;13;12;11;6;3;0;6;5;2;2;5;12;18;22;114;359;422;305;217
Cannole;4;5;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;5;6;9;15;13;4;3;0;0;0;0;19;36;34;20;12;2;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;15;43;53;41;32
